QW0VVBM5-4M-00001-00000188-00000793 はいどうも、太郎アヨです。ということでね、今、モモクロのライブに行ってきて、今ライブが終わってます。
QW0VVBM5-4M-00002-00000794-00000886 たんですけど
QW0VVBM5-4M-00003-00000886-00001397 ここまで立った設定とか大丈夫な場所なんですけどまぁね、今回なんと
QW0VVBM5-4M-00004-00001398-00001557 どうぞお待ちまして
QW0VVBM5-4M-00005-00001558-00002133 出てくるんですよチケットがギョギョギョンってなんとね前から2列目だった
QW0VVBM5-4M-00008-00002419-00002746 とかもベストもめちゃくちゃもらって
QW0VVBM5-4M-00009-00002747-00003328 まあこういうねポンと達人のしっぽいポンとテイクとされてると知りませんけど
QW0VVBM5-4M-00012-00003885-00004141 レニちゃんからは
QW0VVBM5-4M-00013-00004142-00005509 えーとあーりんからちゃんとこれもやってくれたんですよこれしかやってないのうわっちょっとなにこれちょっとあーあったあった
QW0VVBM5-4M-00016-00006517-00007038 タイトなスーパーアリーナから太郎でしたまたお会いしましょうバイバイ
QW0VVBM5-4M-00018-00007383-00007659 はいということで
QW0VVBM5-4M-00019-00007659-00007977 お前ら送りしますから今日で
QW0VVBM5-4M-00020-00007978-00008538 12日ほど桃色クリスマスから12日ほど経ってしまったんですけど
QW0VVBM5-4M-00021-00008539-00008750 とりあえず着替えてみて
QW0VVBM5-4M-00023-00009154-00009606 10日ほど経ってしまったんですけど、ちょっとね、軽くレポをしたいと思います。
QW0VVBM5-4M-00024-00009607-00009954 一体日が12月24日で
QW0VVBM5-4M-00025-00009955-00010356 まあ前から2列目でこんくらいの距離で
QW0VVBM5-4M-00026-00010357-00010798 本当にステージと近いわけじゃなかったっけ一番右端だったんで
QW0VVBM5-4M-00027-00010799-00011087 トロッコによって言ったんですけど
QW0VVBM5-4M-00028-00011088-00011435 トロップに乗ってくる時にもう3年というか
QW0VVBM5-4M-00030-00011711-00011833 でね
QW0VVBM5-4M-00036-00013136-00013788 以前お会いしたことのあるビートボクサーの方がステージ上で一緒に
QW0VVBM5-4M-00037-00013790-00013885 やったら
QW0VVBM5-4M-00038-00013886-00014569 もうすごい残念ってなったししかもめっちゃ迷惑でテイクしてくれたし
QW0VVBM5-4M-00039-00014569-00014893 ちょっとね、お送りの思い出
QW0VVBM5-4M-00040-00014894-00015233 今までの中で一番いい思い出でしたよね
QW0VVBM5-4M-00041-00015234-00015785 去年も一緒に行った大学の後輩と行ったんですけど
QW0VVBM5-4M-00042-00015786-00016439 そいつは25日は彼氏と過ごしてたらしいんで自分と大学の後輩横に並んでた
QW0VVBM5-4M-00043-00016440-00016556 ですけどなんか
QW0VVBM5-4M-00044-00016557-00017090 前から2列目で並んでたんですけど、こっち側にちょっと太めなおじさん、結構お金持ち
QW0VVBM5-4M-00046-00017198-00017776 こっち側にはもっと太めなおじさんがいてこう、太め太めに挟まれてたんですよ
QW0VVBM5-4M-00047-00017777-00018069 テイジこっから行ってあっち側だったのね
QW0VVBM5-4M-00048-00018070-00018483 あっちが向かなきゃいけないですけど太めのあっちゃんが
